State,Year,Numbirths,ln_numbirths,treated,tax_zscore,finance_zscore,migration_zscore,marriage_zscore,female_zscore,population_zscore
Gwangju,2018,9105,9.116578992,0,-1.002711063,0.17894181,-0.715457946,0.408548099,-0.441691933,-0.49715494
Daejeon,2018,9337,9.14174028,0,-0.968714135,0.390830743,-1.447384234,0.629012503,-0.437412455,-0.484971358
Ulsan,2018,8149,9.005650499,0,0.180382034,1.212702971,-1.300998976,0.95970911,-0.573029984,-0.590993461
Gyeonggi,2018,88175,11.38707876,0,-0.071195234,1.341120507,1.480320917,0.739244705,3.033929779,3.044594463
Gangwon,2018,8351,9.030136571,0,-0.989112292,-1.124496176,0.309238857,0.188083695,-0.517187685,-0.50980263
Chungbuk,2018,10586,9.267287652,0,-0.74433441,-0.732822693,0.309238857,0.518780301,-0.463360041,-0.470150998
Chungnam,2018,14380,9.573593631,0,-0.13918909,-0.418199731,1.480320917,0.739244705,-0.316527161,-0.318685117
Jeonbuk,2018,10001,9.210440367,0,-1.281485874,-1.252913712,-0.422687431,-0.363077316,-0.427988176,-0.435161759
Jeonnam,2018,11238,9.327056172,0,-1.104701848,-1.362068617,-0.129916916,-0.252845114,-0.482532491,-0.462576557
Gyeongbuk,2018,16079,9.685269352,0,-0.678607015,-0.951132503,-0.129916916,0.077851493,-0.239802313,-0.189982292
Gyeongnam,2018,21224,9.962887896,0,-0.483691294,-0.212731674,0.309238857,0.298315897,-0.013437121,0.032945744
Jeju,2018,4781,8.472405009,0,1.202556339,-0.418199731,3.383329265,1.290405716,-0.713441833,-0.754388545
Seoul,2019,53673,10.89066536,0,0.873919367,2.278568517,-1.447384234,0.95970911,2.137125862,2.008856112
Busan,2019,17049,9.74384683,0,-0.377167586,0.57703617,-1.008228461,-0.252845114,0.010477682,0.039747625
Daegu,2019,13233,9.490468989,0,-0.621945469,0.313780222,-0.715457946,-0.032380709,-0.220884867,-0.222909052
Incheon,2019,18522,9.826714494,0,-0.053063539,1.071443682,0.162853599,0.629012503,-0.04271789,-0.045019263
Gwangju,2019,8364,9.031692061,0,-0.866723351,-0.013684494,-0.422687431,0.077851493,-0.448711197,-0.498024171
Daejeon,2019,8410,9.037176753,0,-0.875789198,0.185362687,-1.300998976,0.518780301,-0.449882282,-0.490464067
Ulsan,2019,7539,8.927844826,0,0.237043581,0.814608611,-1.447384234,0.629012503,-0.584042299,-0.595428509
Gyeonggi,2019,83198,11.32897859,0,0.18718142,1.251228232,2.065861947,0.739244705,3.013344533,3.093080553
Gangwon,2019,8283,9.021960501,0,-0.739801486,-1.124496176,-0.276302174,0.077851493,-0.525205211,-0.513078839
Chungbuk,2019,9333,9.141311786,0,-0.624211931,-0.790610584,0.602009372,0.408548099,-0.47192504,-0.469670504
Chungnam,2019,13228,9.490091074,0,-0.014533687,-0.514512882,0.894779887,0.739244705,-0.324890332,-0.31863719
Jeonbuk,2019,8971,9.101752432,0,-1.159096932,-1.323543357,-1.008228461,-0.693773922,-0.440357693,-0.440870751
Jeonnam,2019,10832,9.290259995,0,-0.916585512,-1.407014755,-0.422687431,-0.58354172,-0.492584008,-0.464254805
Gyeongbuk,2019,14472,9.579971027,0,-0.603813774,-1.034603902,-0.276302174,-0.142612911,-0.257947495,-0.196451965
Gyeongnam,2019,19250,9.86526634,0,-0.481424833,-0.488829375,-0.129916916,-0.032380709,-0.037350716,0.026674741
Jeju,2019,4500,8.411832676,0,1.259217886,-0.514512882,2.065861947,1.069941312,-0.714644342,-0.752824583
Seoul,2020,47445,10.76732642,0,1.370274517,2.252885009,-0.569072689,0.518780301,2.093173286,1.967463969
Busan,2020,15058,9.61966469,0,-0.03039892,0.525669156,-0.861843204,-0.473309518,-0.012689028,0.018356824
Daegu,2020,11193,9.323043862,0,-0.295574959,0.281675838,-1.300998976,-0.473309518,-0.239132776,-0.235480142
Incheon,2020,16040,9.682840881,0,0.062526017,0.833871241,0.016468341,0.077851493,-0.059206149,-0.054393612
Gwangju,2020,7318,8.898092346,0,-0.508622375,0.005578137,-0.276302174,-0.252845114,-0.461942411,-0.505184888
Daejeon,2020,7481,8.920121752,0,-0.597014388,0.024840767,-1.447384234,-0.032380709,-0.459244925,-0.496906705
Ulsan,2020,6617,8.797397374,0,0.250642352,0.679770199,-1.154613719,0.188083695,-0.593979003,-0.60142711
Gyeonggi,2020,77737,11.26108661,0,0.318636209,1.129231573,1.626706175,0.298315897,3.024474078,3.13376281
Gangwon,2020,7835,8.966356155,0,-0.039464767,-0.976816011,0.309238857,-0.142612911,-0.534208915,-0.517857975
Chungbuk,2020,8607,9.060331105,0,-0.150521399,-0.700718309,0.455624114,0.077851493,-0.479302035,-0.472483423
Chungnam,2020,11950,9.388486557,0,0.556614705,-0.424620608,0.162853599,0.188083695,-0.342175026,-0.328491624
Jeonbuk,2020,8165,9.007612005,0,-0.198117098,-1.034603902,-0.861843204,-0.693773922,-0.450559071,-0.446909086
Jeonnam,2020,9738,9.183791037,0,0.153184492,-1.13733793,-0.569072689,-0.58354172,-0.502618605,-0.467955799
Gyeongbuk,2020,12873,9.462887374,0,0.107855254,-0.893344612,-0.129916916,-0.58354172,-0.283001961,-0.21225871
Gyeongnam,2020,16823,9.730502277,0,0.069325403,-0.431041484,-0.276302174,-0.473309518,-0.060692666,0.012785466
Jeju,2020,3989,8.291295852,0,1.65131579,-0.520933759,0.748394629,0.629012503,-0.715130179,-0.752358016
Seoul,2021,45531,10.72614869,0,1.5674567,2.220780626,-0.861843204,0.188083695,2.018355532,1.911484544
Busan,2021,14446,9.578172839,0,-0.03039892,0.326621976,-0.422687431,-1.024470528,-0.036959145,-0.000670011
Daegu,2021,10661,9.274347502,0,-0.077994619,0.230308824,-0.861843204,-1.13470273,-0.261086101,-0.248863525
Incheon,2021,14947,9.61226589,0,0.130519873,0.5962988,-0.569072689,-0.58354172,-0.073220504,-0.05753874
Gwangju,2021,7956,8.98168164,0,-0.234380488,-0.013684494,-0.422687431,-0.804006124,-0.469544195,-0.50750912
Daejeon,2021,7414,8.911125384,0,-0.510888837,-0.071472385,-1.008228461,-0.473309518,-0.470573881,-0.502286766
Ulsan,2021,6127,8.720460513,0,0.300504514,0.551352663,-1.593769492,-0.363077316,-0.607123202,-0.609219063
Gyeonggi,2021,76139,11.2403159,0,0.325435594,1.045760175,2.065861947,-0.142612911,2.984680125,3.154705069
Gangwon,2021,7357,8.90340752,0,-0.025865996,-1.060287409,0.748394629,-0.804006124,-0.543143731,-0.522422466
Chungbuk,2021,8190,9.010669177,0,-0.080261081,-0.816294091,0.455624114,-0.363077316,-0.491028603,-0.479461445
Chungnam,2021,10984,9.304194947,0,0.633674409,-0.55945902,0.162853599,-0.58354172,-0.353247768,-0.332470345
Jeonbuk,2021,7475,8.919319398,0,-0.209449408,-1.150179684,-0.569072689,-1.244934933,-0.4659125,-0.455213894
Jeonnam,2021,8430,9.039552051,0,0.28463928,-1.207967575,-0.569072689,-1.244934933,-0.515488463,-0.474470122
Gyeongbuk,2021,12045,9.396404915,0,-0.019066611,-1.034603902,-0.715457946,-1.244934933,-0.299043056,-0.222120107
