State,Year,Birthrate,treated,tax_zscore,finance_zscore,migration_zscore,marriage_zscore,female_zscore,population_zscore
Daejeon,2017,1.075,0,-1.174962166,0.634824061,-0.861843204,1.069941312,-0.423418645,-0.479433181
Ulsan,2017,1.261,0,0.053460169,1.231965602,-0.861843204,1.621102322,-0.562128855,-0.587015559
Gyeonggi,2017,1.069,0,-0.458760214,1.302595246,1.773091432,1.180173514,3.034084474,2.972334353
Gangwon,2017,1.123,0,-1.184028013,-1.085970916,0.309238857,0.408548099,-0.508550173,-0.50808219
Chungbuk,2017,1.235,0,-0.970980597,-0.707139186,0.602009372,0.849476907,-0.454990826,-0.472333499
Chungnam,2017,1.276,0,-0.440628519,-0.431041484,1.187550402,1.290405716,-0.311558808,-0.324196668
Jeonbuk,2017,1.151,0,-1.451470514,-1.201546698,-0.129916916,-0.142612911,-0.417588596,-0.432443873
Jeonnam,2017,1.325,0,-1.270153564,-1.349226864,-0.129916916,-0.032380709,-0.474200742,-0.462754746
Gyeongbuk,2017,1.256,0,-0.837259347,-0.951132503,0.016468341,0.518780301,-0.223016751,-0.185307611
Gyeongnam,2017,1.227,0,-0.608346697,-0.148522906,0.309238857,0.849476907,0.004537655,0.034422864
Jeju,2017,1.305,0,0.64727318,-0.469566745,3.529714523,1.51087012,-0.716412451,-0.759862411
Seoul,2018,0.761,0,0.640473794,2.45193219,-1.300998976,1.069941312,2.174257377,2.033906535
Busan,2018,0.899,0,-0.515421761,0.724716336,-1.008228461,-0.032380709,0.035321861,0.05651495
Daegu,2018,0.987,0,-0.764732567,0.422935127,-0.569072689,0.077851493,-0.20294393,-0.214407622
Incheon,2018,1.006,0,-0.077994619,1.238386478,0.016468341,0.739244705,-0.029478216,-0.046004829
Gwangju,2018,0.972,0,-1.002711063,0.17894181,-0.715457946,0.408548099,-0.441691933,-0.49715494
Daejeon,2018,0.952,0,-0.968714135,0.390830743,-1.447384234,0.629012503,-0.437412455,-0.484971358
Ulsan,2018,1.131,0,0.180382034,1.212702971,-1.300998976,0.95970911,-0.573029984,-0.590993461
Gyeonggi,2018,1.002,0,-0.071195234,1.341120507,1.480320917,0.739244705,3.033929779,3.044594463
Gangwon,2018,1.067,0,-0.989112292,-1.124496176,0.309238857,0.188083695,-0.517187685,-0.50980263
Chungbuk,2018,1.172,0,-0.74433441,-0.732822693,0.309238857,0.518780301,-0.463360041,-0.470150998
