State,Year,Birthrate,treated,tax_zscore,finance_zscore,migration_zscore,marriage_zscore,female_zscore,population_zscore,childcare_zscore,unemployment_zscore,femalelabor_zscore,housing_zscore
Jeonbuk,2023,0.78,0,0.61100979,-1.105233546,-0.276302174,-1.685863741,-0.485945438,-0.465085532,-0.40748676174889775,-0.959069770666088,1.181220101203204,0.9102848937892584
Jeonnam,2023,0.972,0,1.438268374,-1.098812669,0.162853599,-1.244934933,-0.529930645,-0.478627441,0.08497093790987317,-1.3559262274934345,1.9148382606976317,0.5612262644790205
Gyeongbuk,2023,0.86,0,0.885251677,-1.008920394,-0.276302174,-1.575631539,-0.334536985,-0.243362623,-0.16125791191951191,-0.8267842850569723,0.44760194170877626,0.7282177725988939
Gyeongnam,2023,0.799,0,0.980443075,-0.469566745,-0.715457946,-1.465399337,-0.138285254,-0.026446296,0.2608486877880059,-0.959069770666088,0.3970075858815736,0.38843644396086474
Jeju,2023,0.827,0,2.634960242,-0.495250252,0.894779887,-0.58354172,-0.724205187,-0.752815162,-0.17884568690732558,-1.7527826843207817,2.623159242278458,0.9763856974341875
Seoul,2024,0.58,0,2.818543654,2.118046597,-0.276302174,-0.693773922,1.945163278,1.841688349,-2.377317560383983,-0.29764234262051015,0.7258708987583855,0.38959610671884026
Busan,2024,0.68,0,0.733398731,0.262413208,-0.276302174,-1.575631539,-0.088188406,-0.046899458,-1.8848598607252114,-0.29764234262051015,-0.5895823527488637,-0.018605346905283853
Daegu,2024,0.75,0,0.50221962,0.211046194,-0.129916916,-1.244934933,-0.302511597,-0.275252204,-1.832096535761772,0.23149959981595203,-0.6654738864896678,-0.11485739478194026
Incheon,2024,0.76,1,0.855787672,0.551352663,1.773091432,-0.693773922,-0.077522945,-0.046499251,-1.4099899360542534,0.09921411420683633,0.8270596104127907,-0.4430420860990436
Gwangju,2024,0.7,0,0.29597159,-0.02010537,-0.715457946,-1.024470528,-0.495385429,-0.519056958,-1.0582344362979885,-0.29764234262051015,0.09344145091836127,-1.5435624831621673
